node_id,region,cpu_pct,ram_pct,bandwidth_mbps,latency_ms,active_connections,predicted_latency_ms
N007,eu-central,6.1,37.6,315.0,91.89,287,120.56
N002,us-west,70.5,45.5,992.7,161.72,147,250.6
N003,ap-south,70.6,43.1,837.2,121.6,73,185.64
N004,eu-central,47.7,79.4,986.8,17.89,491,51.44
N007,us-east,5.6,61.1,280.6,39.1,236,59.96
N003,us-west,21.7,40.5,558.3,13.24,423,37.61
N005,eu-central,49.5,69.2,232.3,159.29,78,239.36
N005,eu-central,91.0,76.7,477.8,132.49,457,249.5
N005,ap-south,21.1,82.5,648.3,10.55,391,34.11
N005,ap-south,94.5,15.3,748.1,118.31,289,194.7
N007,eu-central,61.5,48.1,697.3,28.32,262,54.67
N001,eu-central,19.7,14.7,326.5,176.27,69,205.72
N006,us-west,9.8,38.9,639.9,191.26,24,226.63
N005,eu-central,52.7,84.9,518.7,154.46,93,243.52
N002,us-west,53.9,79.8,828.6,138.57,154,220.47
N005,eu-central,13.6,56.4,825.1,7.52,265,22.7
N005,eu-central,75.1,43.0,921.7,36.79,111,61.43
N003,us-west,79.8,73.6,563.1,139.48,487,253.7
N002,ap-south,46.4,16.1,820.7,185.06,245,250.18
N006,eu-central,67.2,21.1,447.5,197.58,267,291.21
N006,us-west,68.9,12.3,816.4,48.36,438,88.9
N003,us-west,32.7,26.8,981.3,87.84,390,129.55
N002,us-east,6.7,48.7,436.9,43.29,16,52.57
N001,ap-south,15.7,30.2,75.6,135.18,386,178.7
N002,us-east,87.8,26.4,902.2,41.03,179,71.6
N001,us-east,18.1,69.7,284.6,118.05,180,165.16
N003,us-west,50.4,15.5,821.4,153.83,270,214.04
N004,us-west,91.8,23.7,756.5,5.84,371,27.53
N002,us-west,87.8,78.1,480.0,141.14,94,244.54
N008,us-east,21.3,38.4,385.8,46.78,116,63.55
N007,us-east,73.5,35.1,471.2,106.35,253,170.53
N006,eu-central,55.1,13.2,334.8,27.57,145,43.63
N008,eu-central,66.8,77.3,233.6,84.42,437,156.22
N007,us-west,82.1,81.6,804.4,188.12,188,325.91
N003,us-east,94.9,49.3,114.1,90.42,337,165.03
N002,us-east,17.9,42.0,594.7,24.84,473,54.19
N003,us-east,37.7,25.9,208.3,169.59,206,226.5
N002,us-west,80.4,68.0,285.7,144.13,297,249.59
N005,ap-south,37.0,63.3,950.6,197.57,261,288.86
N005,us-west,74.1,18.6,258.2,101.97,321,162.12
N003,us-east,14.0,14.2,77.5,137.23,497,178.18
N003,ap-south,59.4,36.2,309.7,126.53,389,198.83
N002,ap-south,76.3,26.2,665.5,100.6,133,154.41
N006,us-east,90.7,12.5,436.1,183.41,196,284.03
