user_id,file_id,file_name,file_type,access_count,last_accessed,tags
U020,F003,chart_16.image,image,114,2025-11-05T08:18:40,"finance,personal,hr"
U014,F022,metrics_67.xlsx,spreadsheet,41,2026-01-23T09:13:40,"project,engineering,media"
U013,F005,recording_41.video,video,119,2026-03-12T15:26:40,"engineering,finance,personal"
U007,F017,tutorial_45.video,video,113,2026-03-13T08:32:40,"media,education"
U018,F023,clip_84.video,video,68,2026-03-27T18:03:40,"personal,project,finance"
U005,F009,report_96.pdf,pdf,71,2026-02-19T07:37:40,"education,project,media"
U007,F022,clip_63.video,video,33,2026-03-17T13:15:40,"personal,finance"
U001,F011,portrait_34.image,image,21,2025-12-06T22:10:40,"finance,hr"
U003,F029,scan_5.image,image,107,2025-12-25T21:20:40,research
U005,F002,presentation_6.video,video,116,2025-12-29T09:12:40,engineering
U012,F025,tracker_80.xlsx,spreadsheet,96,2026-02-19T08:00:40,media
U014,F001,portrait_43.image,image,101,2025-12-14T18:00:40,"education,media,engineering"
U004,F013,thesis_29.pdf,pdf,26,2025-12-03T04:36:40,education
U001,F022,chart_43.image,image,36,2026-03-13T07:33:40,"research,project,personal"
U011,F001,manual_23.pdf,pdf,75,2026-01-22T14:49:40,"research,media,project"
U011,F014,metrics_15.xlsx,spreadsheet,50,2025-11-03T09:39:40,research
U001,F017,forecast_93.xlsx,spreadsheet,95,2025-10-10T09:32:40,"engineering,project"
U011,F020,tour_16.video,video,93,2026-01-12T23:36:40,"research,media,education"
U010,F018,screenshot_54.image,image,86,2025-12-22T18:08:40,personal
U013,F018,manual_37.pdf,pdf,27,2025-12-09T21:17:40,"project,education,research"
U015,F022,scan_61.image,image,102,2026-02-14T18:50:40,"project,finance"
U008,F022,tutorial_26.video,video,19,2026-03-24T14:40:40,"engineering,education"
U014,F029,sales_92.xlsx,spreadsheet,90,2025-12-22T00:30:40,media
U001,F029,thesis_29.pdf,pdf,23,2025-10-02T23:26:40,education
U004,F015,chart_86.image,image,68,2025-11-06T20:35:40,"research,hr"
U018,F015,portrait_61.image,image,58,2026-01-23T08:02:40,"personal,research,hr"
U016,F021,diagram_57.image,image,10,2026-01-16T08:38:40,"project,personal"
U003,F005,screenshot_50.image,image,89,2026-02-18T17:42:40,research
U014,F011,tracker_54.xlsx,spreadsheet,8,2026-02-06T02:31:40,"finance,research,personal"
U013,F016,manual_39.pdf,pdf,97,2025-12-21T02:21:40,"education,hr,engineering"
U009,F014,main_50.code,code,44,2025-10-09T18:04:40,"media,research"
U015,F030,scan_69.image,image,4,2025-12-19T21:19:40,"finance,hr,project"
U014,F005,utils_7.code,code,34,2025-12-23T05:42:40,"project,media"
U013,F009,config_11.code,code,61,2026-03-25T16:21:40,project
U008,F021,guide_6.pdf,pdf,97,2026-03-23T08:43:40,media
U008,F005,schema_15.code,code,73,2026-02-03T01:11:40,"project,engineering"
U020,F020,invoice_40.pdf,pdf,14,2025-11-02T14:56:40,"research,education"
U007,F003,forecast_81.xlsx,spreadsheet,32,2026-03-03T17:06:40,"engineering,research"
U019,F026,manual_69.pdf,pdf,55,2025-10-12T04:51:40,"project,finance,education"
U016,F004,config_82.code,code,115,2025-12-02T17:46:40,"media,project"
U017,F021,clip_69.video,video,100,2025-11-27T01:28:40,"personal,media,engineering"
U003,F009,utils_97.code,code,60,2025-11-04T20:13:40,"project,finance"
U016,F028,tutorial_63.video,video,28,2025-12-30T07:34:40,"personal,hr"
U001,F017,photo_31.image,image,93,2025-12-16T00:20:40,hr
U016,F015,report_38.pdf,pdf,29,2025-12-16T17:40:40,"project,education"
U018,F017,recording_96.video,video,71,2026-01-05T04:11:40,"personal,media"
U009,F008,guide_25.pdf,pdf,41,2026-02-27T16:21:40,"media,engineering,research"
U016,F009,metrics_77.xlsx,spreadsheet,37,2026-03-05T09:37:40,project
U006,F010,guide_69.pdf,pdf,17,2026-01-19T14:52:40,"personal,project,engineering"
U016,F004,summary_37.pdf,pdf,61,2025-11-28T01:34:40,finance
U009,F028,main_9.code,code,52,2025-11-25T13:19:40,"finance,engineering,research"
U019,F010,invoice_16.pdf,pdf,72,2025-12-13T20:17:40,"education,research,personal"
U013,F015,config_76.code,code,55,2026-01-10T21:16:40,engineering
U007,F021,diagram_85.image,image,11,2026-02-18T08:44:40,"engineering,hr,finance"
U014,F015,tracker_38.xlsx,spreadsheet,5,2026-01-30T06:10:40,"hr,finance"
U008,F030,tour_76.video,video,85,2026-02-08T02:48:40,"education,project,engineering"
U009,F027,photo_8.image,image,22,2026-01-10T20:08:40,"personal,education,finance"
U015,F023,tour_52.video,video,35,2025-11-21T22:24:40,"engineering,personal"
U002,F029,schema_42.code,code,78,2026-01-25T15:50:40,finance
U009,F019,invoice_61.pdf,pdf,67,2025-10-15T00:57:40,"media,personal"
U014,F021,main_61.code,code,45,2025-12-16T05:35:40,"engineering,research,hr"
U011,F014,config_85.code,code,52,2025-11-10T14:26:40,project
U009,F011,thesis_66.pdf,pdf,106,2026-03-29T18:00:40,"hr,education,finance"
U007,F017,clip_97.video,video,64,2025-10-21T01:07:40,education
U009,F018,diagram_57.image,image,113,2025-10-03T00:48:40,education
U006,F010,budget_71.xlsx,spreadsheet,53,2026-03-07T08:02:40,hr
U004,F021,chart_92.image,image,38,2025-11-19T17:38:40,"hr,education"
U008,F015,sales_50.xlsx,spreadsheet,25,2025-10-27T23:08:40,engineering
U009,F025,config_65.code,code,35,2026-03-30T06:09:40,"hr,research"
U005,F015,tracker_45.xlsx,spreadsheet,43,2025-11-08T22:31:40,"project,research"
U007,F023,scan_50.image,image,30,2025-12-15T14:35:40,"hr,project,education"
U013,F022,chart_5.image,image,17,2025-11-21T21:34:40,hr
U004,F017,main_93.code,code,19,2025-12-15T19:46:40,hr
U009,F011,forecast_51.xlsx,spreadsheet,84,2026-03-10T05:01:40,"research,media,project"
U016,F028,budget_80.xlsx,spreadsheet,9,2026-01-28T19:12:40,"education,project"
U003,F014,guide_91.pdf,pdf,112,2026-03-05T01:45:40,"personal,finance,research"
U011,F026,manual_46.pdf,pdf,48,2025-12-10T11:40:40,"research,personal,project"
U006,F006,photo_79.image,image,112,2025-12-22T20:12:40,hr
U019,F005,chart_82.image,image,33,2025-12-03T07:13:40,hr
U010,F022,sales_10.xlsx,spreadsheet,57,2025-12-31T21:36:40,"research,project,media"
U015,F028,tutorial_50.video,video,110,2025-11-27T12:40:40,"project,personal"
U010,F023,demo_85.video,video,51,2026-01-19T15:19:40,"finance,personal,project"
U016,F027,tutorial_78.video,video,103,2025-12-30T08:15:40,personal
U005,F021,guide_83.pdf,pdf,6,2026-01-10T01:53:40,"project,hr,engineering"
U003,F030,presentation_96.video,video,54,2026-02-14T09:47:40,"project,personal,research"
U009,F027,diagram_62.image,image,104,2026-01-13T16:00:40,"engineering,education"
U003,F005,portrait_93.image,image,87,2025-12-18T22:32:40,research
U001,F009,budget_59.xlsx,spreadsheet,48,2025-10-08T16:12:40,"research,hr"
U012,F004,chart_4.image,image,80,2025-11-07T04:57:40,"education,project,finance"
U015,F030,tour_53.video,video,15,2026-02-23T14:53:40,"hr,finance"
U004,F008,sales_50.xlsx,spreadsheet,59,2025-12-25T18:08:40,"research,personal,project"
U005,F029,schema_13.code,code,107,2025-11-24T20:29:40,"finance,project"
U012,F007,tests_31.code,code,110,2025-12-28T12:12:40,"project,finance"
U013,F009,photo_59.image,image,12,2025-10-12T09:14:40,"finance,hr,media"
U008,F005,sales_9.xlsx,spreadsheet,107,2025-11-09T09:18:40,education
U011,F025,scan_1.image,image,36,2026-02-21T11:21:40,"media,finance"
U001,F005,manual_31.pdf,pdf,76,2026-01-07T15:44:40,"finance,engineering"
U014,F017,guide_9.pdf,pdf,61,2025-12-06T04:23:40,"engineering,education,personal"
U008,F020,guide_85.pdf,pdf,67,2026-01-12T01:14:40,finance
U016,F028,tests_88.code,code,14,2025-11-24T16:57:40,"engineering,finance"
U011,F020,photo_17.image,image,36,2025-10-21T19:18:40,"project,education,personal"
U017,F010,api_78.code,code,56,2026-03-04T17:48:40,"education,hr,research"
U008,F014,recording_52.video,video,54,2026-03-06T05:28:40,"personal,media"
U005,F022,main_12.code,code,107,2026-03-09T13:28:40,project
U005,F018,summary_72.pdf,pdf,72,2026-01-04T18:48:40,"project,research"
U014,F028,manual_77.pdf,pdf,40,2025-12-30T12:19:40,"education,engineering,project"
U016,F008,manual_72.pdf,pdf,48,2026-03-01T07:19:40,research
U018,F025,metrics_87.xlsx,spreadsheet,83,2025-11-08T15:17:40,"personal,finance,engineering"
U009,F023,presentation_45.video,video,1,2026-02-12T11:19:40,"research,finance,engineering"
U001,F003,sales_49.xlsx,spreadsheet,54,2025-12-04T05:45:40,"personal,project"
U011,F025,metrics_11.xlsx,spreadsheet,114,2026-03-17T11:45:40,"finance,project,hr"
U009,F015,tests_78.code,code,57,2025-12-14T07:42:40,"engineering,media,education"
U004,F010,tracker_68.xlsx,spreadsheet,86,2026-01-11T14:41:40,"finance,hr"
U007,F010,screenshot_98.image,image,33,2026-01-15T05:48:40,hr
U014,F006,chart_69.image,image,91,2026-01-30T23:20:40,"project,finance,education"
U002,F014,thesis_10.pdf,pdf,111,2026-01-08T21:28:40,"research,project,hr"
U014,F010,thesis_3.pdf,pdf,42,2026-02-14T20:26:40,"project,finance,education"
U004,F008,api_52.code,code,68,2026-03-10T03:00:40,"project,engineering"
U011,F025,photo_66.image,image,82,2026-02-28T23:23:40,project
U012,F024,screenshot_14.image,image,19,2026-01-24T09:44:40,"media,research,project"
U003,F006,tests_97.code,code,73,2025-11-02T01:12:40,"project,research,hr"
U011,F005,main_61.code,code,57,2025-10-20T06:05:40,"finance,media"
U017,F003,recording_58.video,video,5,2026-03-16T04:02:40,"engineering,project"
U003,F020,metrics_50.xlsx,spreadsheet,60,2025-11-01T22:05:40,"finance,education,personal"
U007,F011,tracker_65.xlsx,spreadsheet,20,2026-03-15T01:49:40,"engineering,personal"
U006,F002,portrait_57.image,image,57,2025-11-15T23:16:40,project
U012,F030,recording_53.video,video,100,2026-01-02T18:17:40,project
U003,F011,summary_87.pdf,pdf,50,2026-01-17T07:09:40,"media,hr,finance"
U019,F022,diagram_40.image,image,84,2025-10-02T18:30:40,engineering
U010,F018,schema_43.code,code,105,2026-02-25T18:11:40,"engineering,project,research"
U014,F017,demo_47.video,video,40,2026-02-12T09:34:40,"education,engineering"
U005,F005,manual_13.pdf,pdf,65,2025-11-11T15:59:40,"finance,project,media"
U020,F005,tracker_20.xlsx,spreadsheet,21,2026-02-11T17:06:40,"media,project,education"
U002,F014,tour_93.video,video,31,2025-12-06T20:37:40,"hr,engineering,personal"
U008,F010,utils_48.code,code,87,2025-11-04T01:26:40,"research,personal"
U017,F014,screenshot_78.image,image,18,2026-01-25T14:14:40,"project,personal"
U004,F023,budget_37.xlsx,spreadsheet,11,2026-02-17T07:27:40,"media,research,education"
U003,F030,chart_45.image,image,120,2026-03-24T02:52:40,"project,engineering"
U013,F003,tutorial_4.video,video,41,2026-03-04T17:14:40,"media,engineering"
U002,F010,schema_18.code,code,98,2025-10-01T00:27:40,"finance,hr,research"
U009,F007,scan_94.image,image,78,2025-11-15T02:48:40,"education,media"
U004,F002,chart_82.image,image,102,2025-10-22T01:51:40,hr
U020,F018,guide_66.pdf,pdf,74,2026-01-27T17:46:40,"research,finance"
U020,F012,scan_54.image,image,24,2025-10-10T18:50:40,"project,finance,personal"
U018,F017,metrics_3.xlsx,spreadsheet,50,2025-11-30T14:15:40,"project,media"
U001,F012,manual_31.pdf,pdf,94,2025-10-12T19:49:40,"project,engineering,finance"
U012,F018,tour_23.video,video,107,2025-10-06T01:11:40,"media,research"
U005,F003,main_38.code,code,26,2026-03-19T08:59:40,project
U010,F017,api_61.code,code,33,2026-03-20T19:43:40,"project,research"
U002,F028,presentation_16.video,video,103,2025-12-26T01:59:40,"hr,education"
U011,F006,schema_64.code,code,48,2025-11-18T07:04:40,research
U003,F014,sales_70.xlsx,spreadsheet,38,2026-01-07T12:50:40,"personal,media"
U015,F020,utils_89.code,code,57,2025-12-31T01:53:40,"project,personal,education"
U009,F021,report_86.pdf,pdf,82,2025-12-17T04:23:40,"media,finance,engineering"
U020,F022,main_17.code,code,9,2026-01-28T19:32:40,"research,personal"
U002,F020,portrait_58.image,image,48,2025-12-25T01:07:40,media
U017,F012,config_84.code,code,36,2026-01-26T12:54:40,"media,education,personal"
U013,F030,budget_34.xlsx,spreadsheet,100,2026-01-22T17:27:40,personal
U016,F007,invoice_10.pdf,pdf,58,2026-02-13T17:27:40,project
U012,F023,summary_70.pdf,pdf,38,2026-01-13T10:10:40,"media,research,hr"
U017,F008,invoice_18.pdf,pdf,31,2025-11-24T15:32:40,"project,education,personal"
U005,F020,report_40.pdf,pdf,51,2025-11-27T23:29:40,"engineering,hr"
U011,F021,thesis_60.pdf,pdf,88,2025-11-18T04:47:40,"media,research,engineering"
U014,F017,report_67.pdf,pdf,20,2026-01-12T10:45:40,"education,media"
U017,F029,demo_33.video,video,26,2025-10-18T22:38:40,personal
U020,F018,summary_83.pdf,pdf,22,2025-10-29T21:46:40,project
U019,F002,report_6.pdf,pdf,83,2025-11-03T07:14:40,research
U020,F021,thesis_81.pdf,pdf,70,2026-01-14T19:36:40,"education,research"
U013,F010,main_89.code,code,8,2026-02-18T01:29:40,"hr,engineering"
U011,F020,diagram_92.image,image,41,2026-01-01T03:47:40,"engineering,media"
U008,F015,manual_58.pdf,pdf,32,2026-02-22T12:52:40,"research,hr"
