log_id,user_id,action,file_id,timestamp,ip_address,file_size_mb,download_count_24h,login_attempts,anomaly_label
LOG0034,U012,view,F026,2026-01-22T05:11:40,107.209.76.153,188.29,30,3,0
LOG0035,U008,login,F028,2025-12-30T11:04:40,119.29.211.213,278.69,15,4,0
LOG0036,U007,logout,F021,2026-03-20T01:01:40,95.47.97.26,134.3,38,0,0
LOG0037,U003,share,F026,2026-01-13T16:13:40,144.111.245.106,434.75,0,3,0
LOG0038,U007,download,F024,2026-01-28T08:11:40,155.104.203.122,276.08,24,7,0
LOG0039,U018,logout,F010,2026-02-25T04:23:40,226.254.238.50,401.43,48,5,0
LOG0040,U007,logout,F011,2026-02-06T14:19:40,222.113.74.8,130.46,37,6,0
LOG0041,U010,delete,F007,2026-02-16T08:31:40,146.125.255.172,128.74,46,7,0
LOG0042,U015,delete,F024,2026-02-13T10:47:40,185.250.94.30,262.02,4,0,0
LOG0043,U001,view,F005,2026-01-09T08:51:40,182.77.4.111,252.92,39,9,0
LOG0044,U016,rename,F001,2026-03-29T22:20:40,106.6.8.140,267.92,32,6,0
LOG0045,U006,download,F030,2026-03-17T23:46:40,62.98.129.181,133.74,23,6,0
LOG0046,U015,share,F023,2026-03-02T06:12:40,212.41.16.47,202.7,30,0,0
LOG0047,U001,delete,F003,2026-01-26T02:14:40,201.169.48.21,114.96,44,9,0
LOG0048,U016,login,F002,2026-03-20T17:56:40,72.16.91.161,7.93,9,6,0
LOG0049,U003,login,F006,2026-01-17T08:19:40,214.199.169.196,377.83,44,1,0
LOG0050,U017,logout,F002,2026-03-18T02:41:40,215.38.174.203,484.46,40,4,0
LOG0051,U015,rename,F008,2026-02-12T22:31:40,111.95.194.43,386.11,15,1,0
LOG0052,U003,login,F005,2026-02-09T17:05:40,163.78.199.162,180.41,129,39,1
LOG0053,U012,login,F004,2026-03-14T13:44:40,111.229.208.52,13.23,5,9,0
LOG0054,U020,logout,F028,2026-02-09T15:37:40,106.198.43.124,286.02,24,2,0
LOG0055,U005,login,F010,2026-02-24T00:46:40,17.85.222.141,210.61,4,5,0
LOG0056,U009,share,F024,2026-01-09T00:17:40,158.100.234.54,67.83,152,32,1
LOG0057,U020,view,F026,2026-02-16T01:34:40,111.69.153.164,301.65,30,5,0
LOG0058,U006,view,F011,2026-02-20T16:11:40,163.251.124.166,188.09,25,5,0
LOG0059,U004,share,F019,2026-01-20T10:12:40,197.13.236.107,219.28,44,1,0
LOG0060,U014,rename,F005,2026-01-08T06:40:40,65.78.216.193,37.08,30,9,0
LOG0061,U013,view,F018,2026-03-26T04:11:40,230.43.55.127,328.84,41,9,0
LOG0062,U002,view,F025,2026-02-16T02:49:40,3.50.132.113,255.39,37,9,0
LOG0063,U008,rename,F012,2026-02-08T01:06:40,174.77.176.12,241.44,5,1,0
LOG0064,U005,logout,F010,2026-02-15T01:05:40,53.247.178.243,48.9,28,5,0
LOG0065,U003,login,F002,2025-12-30T12:54:40,218.175.55.84,464.97,33,2,0
LOG0066,U018,delete,F011,2026-01-18T02:26:40,60.207.94.95,320.28,1,9,0
LOG0067,U007,rename,F019,2026-02-04T03:55:40,181.109.105.142,376.19,4,9,0
LOG0068,U004,delete,F012,2026-02-17T09:26:40,30.134.250.160,298.53,37,1,0
LOG0069,U012,logout,F028,2026-01-30T20:44:40,209.152.43.68,156.66,7,2,0
LOG0070,U012,delete,F017,2026-02-09T02:17:40,36.196.216.95,243.39,41,2,0
LOG0071,U018,delete,F016,2026-02-22T11:44:40,81.230.27.183,475.93,12,6,0
LOG0072,U018,rename,F014,2026-01-02T00:29:40,182.227.250.85,41.43,107,29,1
LOG0073,U002,login,F008,2026-01-21T06:45:40,200.234.253.57,286.4,34,5,0
LOG0074,U018,upload,F025,2026-02-01T22:42:40,254.217.52.126,148.92,28,4,0
LOG0075,U012,download,F015,2026-03-15T08:42:40,208.179.219.84,308.11,13,0,0
LOG0076,U019,logout,F018,2026-02-22T20:21:40,44.165.149.148,286.41,32,1,0
LOG0077,U005,view,F030,2026-03-23T07:00:40,168.64.67.127,73.21,15,6,0
LOG0078,U016,delete,F019,2026-01-09T07:15:40,107.192.231.38,316.85,5,6,0
LOG0079,U017,login,F023,2026-02-11T01:24:40,84.1.47.234,317.46,4,8,0
LOG0080,U013,share,F014,2026-03-03T00:38:40,83.145.172.66,283.11,21,0,0
LOG0081,U002,download,F021,2026-01-31T15:48:40,238.80.225.233,0.44,12,2,0
LOG0082,U010,delete,F028,2026-02-23T13:14:40,93.128.42.190,332.29,3,6,0
LOG0083,U010,share,F014,2026-01-06T13:10:40,25.0.109.244,39.06,33,7,0
LOG0084,U001,upload,F023,2026-02-15T12:00:40,109.67.244.36,114.55,77,17,1
LOG0085,U011,logout,F029,2026-02-20T11:31:40,199.68.73.35,265.3,93,39,1
LOG0086,U012,share,F021,2026-03-11T02:16:40,176.226.111.44,448.31,7,9,0
LOG0087,U013,logout,F014,2026-02-18T11:40:40,71.43.127.145,389.51,42,4,0
LOG0088,U007,share,F024,2026-02-08T06:14:40,14.122.253.197,56.46,38,1,0
LOG0089,U017,upload,F012,2026-02-18T11:31:40,221.215.187.88,381.39,49,1,0
LOG0090,U001,download,F001,2026-02-25T09:53:40,237.30.203.146,314.32,26,6,0
LOG0091,U013,download,F021,2026-01-20T22:16:40,40.142.42.158,39.6,9,8,0
LOG0092,U011,view,F019,2026-01-07T19:12:40,165.33.158.223,365.01,3,3,0
LOG0093,U003,view,F004,2026-01-30T20:17:40,15.158.89.61,6.43,0,2,0
LOG0094,U016,logout,F017,2026-01-22T16:39:40,43.190.64.137,366.49,1,5,0
LOG0095,U014,login,F017,2026-03-22T07:10:40,250.39.254.233,255.44,196,21,1
LOG0096,U012,delete,F009,2026-03-16T21:12:40,186.59.116.1,22.11,15,0,0
LOG0097,U016,logout,F013,2026-03-11T09:56:40,246.18.214.114,160.97,46,5,0
LOG0098,U009,download,F019,2026-02-11T12:23:40,173.26.91.114,402.19,25,1,0
LOG0099,U015,login,F025,2026-02-19T05:50:40,142.233.4.188,100.42,19,9,0
LOG0100,U008,rename,F012,2026-01-14T00:06:40,199.100.125.77,3.29,14,8,0
LOG0101,U012,upload,F011,2026-03-29T18:31:40,218.157.53.105,264.95,31,0,0
LOG0102,U005,login,F003,2026-03-25T07:58:40,217.211.190.234,487.28,75,43,1
LOG0103,U005,view,F003,2026-01-13T21:52:40,112.66.121.149,130.57,25,5,0
LOG0104,U011,rename,F009,2026-03-01T13:43:40,35.55.79.54,82.27,26,1,0
LOG0105,U018,logout,F025,2026-03-04T01:36:40,119.135.61.46,78.89,45,9,0
LOG0106,U002,share,F027,2026-02-17T11:50:40,183.127.182.202,256.78,16,2,0
LOG0107,U001,view,F028,2026-01-31T22:08:40,141.127.48.236,51.04,7,0,0
LOG0108,U002,share,F005,2026-03-05T03:32:40,176.43.132.38,11.0,164,19,1
LOG0109,U003,logout,F004,2026-03-25T01:52:40,44.221.202.254,14.84,11,5,0
LOG0110,U007,delete,F009,2026-02-23T00:59:40,39.17.125.151,249.5,30,0,0
LOG0111,U003,login,F013,2026-03-13T02:43:40,165.127.9.195,390.98,34,7,0
LOG0112,U012,logout,F013,2026-02-24T10:54:40,82.112.15.143,29.39,33,5,0
LOG0113,U019,share,F006,2026-03-18T08:13:40,62.136.28.112,287.89,24,5,0
LOG0114,U006,delete,F008,2026-01-14T05:04:40,189.183.14.180,473.78,36,3,0
LOG0115,U016,login,F006,2026-01-27T14:50:40,15.119.112.10,263.27,102,19,1
LOG0116,U011,delete,F030,2026-02-17T14:54:40,38.72.56.186,480.28,42,6,0
LOG0117,U019,download,F011,2026-02-20T05:47:40,250.80.223.249,324.63,35,9,0
LOG0118,U012,share,F022,2026-01-14T10:31:40,79.150.65.90,364.44,36,6,0
LOG0119,U019,upload,F006,2026-01-12T04:57:40,208.113.53.254,70.41,15,5,0
LOG0120,U011,delete,F021,2026-03-18T17:13:40,164.171.228.5,132.68,4,5,0
LOG0121,U009,download,F024,2026-03-30T14:31:40,113.214.85.211,246.59,34,6,0
LOG0122,U004,rename,F026,2026-01-15T19:07:40,176.115.83.231,36.95,18,0,0
LOG0123,U011,login,F004,2026-03-21T05:45:40,228.192.82.38,273.57,5,5,0
LOG0124,U020,rename,F023,2026-03-27T02:14:40,43.222.80.27,50.72,12,6,0
LOG0125,U018,login,F022,2026-02-22T06:40:40,25.25.201.251,76.88,27,1,0
LOG0126,U010,rename,F007,2026-03-18T15:42:40,44.149.41.242,421.9,25,7,0
LOG0127,U016,login,F003,2026-01-06T22:31:40,48.189.195.189,93.37,163,40,1
LOG0128,U009,share,F027,2026-02-23T21:52:40,39.49.43.176,404.11,48,9,0
LOG0129,U008,upload,F027,2026-02-08T23:29:40,248.243.120.243,149.5,45,0,0
LOG0130,U017,delete,F004,2026-02-01T10:45:40,249.108.98.64,21.43,162,23,1
LOG0131,U005,login,F011,2026-03-22T13:31:40,143.203.166.141,259.89,0,9,0
LOG0132,U019,view,F004,2026-02-05T11:46:40,146.51.54.51,392.89,22,6,0
LOG0133,U009,view,F021,2026-01-26T21:17:40,122.19.88.141,201.55,43,6,0
LOG0134,U002,view,F029,2026-02-15T17:40:40,13.243.137.190,10.21,19,4,0
LOG0135,U009,rename,F028,2025-12-30T18:49:40,249.116.68.153,487.11,20,4,0
LOG0136,U014,download,F007,2026-02-02T08:57:40,211.208.248.191,410.53,10,1,0
LOG0137,U010,view,F005,2026-01-21T21:54:40,45.98.102.29,124.82,23,3,0
LOG0138,U009,logout,F027,2026-01-29T23:30:40,163.63.15.123,186.3,11,7,0
LOG0139,U019,logout,F012,2026-03-10T07:08:40,213.46.145.14,193.34,36,3,0
LOG0140,U008,share,F022,2026-03-04T07:14:40,105.10.4.242,455.77,38,0,0
LOG0141,U008,login,F020,2026-02-18T17:10:40,165.140.216.192,425.81,13,7,0
LOG0142,U010,view,F019,2026-03-17T15:23:40,170.191.144.152,342.24,21,4,0
LOG0143,U011,login,F009,2026-01-05T16:58:40,167.152.96.76,258.7,3,9,0
LOG0144,U013,logout,F022,2026-03-12T16:54:40,168.254.151.132,453.47,47,0,0
LOG0145,U019,share,F011,2026-03-01T18:21:40,164.243.183.153,422.73,35,2,0
LOG0146,U010,download,F016,2026-03-13T16:39:40,186.93.171.45,111.2,19,6,0
LOG0147,U011,logout,F009,2026-01-15T06:26:40,218.60.240.27,433.21,39,1,0
LOG0148,U016,share,F017,2026-03-14T18:31:40,136.152.211.27,435.44,12,5,0
LOG0149,U014,rename,F005,2026-02-17T17:44:40,200.41.249.170,315.55,40,0,0
LOG0150,U001,rename,F009,2026-03-04T10:19:40,196.81.250.45,64.79,27,6,0
LOG0151,U014,rename,F013,2026-03-30T14:21:40,52.191.7.164,378.45,1,0,0
LOG0152,U008,share,F023,2026-02-14T06:47:40,27.196.156.85,32.74,125,40,1
LOG0153,U017,logout,F014,2026-01-02T11:34:40,231.250.183.96,82.53,25,0,0
LOG0154,U008,share,F024,2026-03-14T09:09:40,6.86.63.187,355.58,24,4,0
LOG0155,U018,upload,F020,2026-03-23T18:49:40,168.10.24.59,208.45,35,4,0
LOG0156,U016,delete,F007,2025-12-31T18:15:40,3.154.215.51,331.28,38,2,0
LOG0157,U014,download,F017,2026-01-10T12:37:40,30.54.254.101,304.54,33,3,0
LOG0158,U012,view,F010,2026-03-10T14:20:40,128.106.246.169,117.33,73,18,1
LOG0159,U019,rename,F005,2026-03-18T23:51:40,186.51.131.118,228.43,16,7,0
LOG0160,U002,download,F027,2026-03-08T14:01:40,75.184.160.218,369.3,62,11,1
LOG0161,U005,delete,F011,2026-02-13T01:16:40,69.47.190.175,91.52,29,4,0
LOG0162,U013,rename,F026,2026-02-04T18:59:40,205.85.57.67,348.12,91,17,1
LOG0163,U014,rename,F026,2026-01-16T18:27:40,47.194.183.14,431.3,46,2,0
LOG0164,U016,rename,F004,2026-02-06T01:53:40,17.133.160.6,352.31,49,9,0
LOG0165,U019,share,F022,2026-02-14T23:22:40,177.48.221.127,241.02,41,6,0
LOG0166,U005,upload,F001,2026-01-07T10:23:40,218.240.253.84,37.53,15,5,0
LOG0167,U009,upload,F017,2026-03-01T22:14:40,97.206.120.40,229.6,28,1,0
LOG0168,U016,rename,F011,2026-03-15T00:08:40,168.9.52.206,206.23,0,1,0
LOG0169,U020,login,F029,2026-01-23T22:42:40,168.233.174.186,412.67,29,5,0
LOG0170,U018,rename,F023,2026-01-05T04:10:40,116.58.49.113,1.2,40,4,0
LOG0171,U018,logout,F023,2026-03-17T13:58:40,43.252.71.209,53.57,12,1,0
LOG0172,U013,share,F015,2026-03-05T17:34:40,28.212.23.63,386.1,42,9,0
LOG0173,U017,delete,F016,2026-03-29T23:08:40,13.221.247.90,345.94,8,1,0
LOG0174,U013,logout,F017,2026-02-09T02:17:40,235.127.140.203,481.8,28,2,0
LOG0175,U005,view,F020,2025-12-30T16:23:40,77.160.111.102,104.94,43,5,0
LOG0176,U005,delete,F017,2026-01-19T17:15:40,83.59.180.245,291.44,45,6,0
LOG0177,U018,login,F029,2026-02-04T15:22:40,28.12.195.74,26.63,119,21,1
LOG0178,U010,login,F005,2026-03-22T17:05:40,76.104.16.183,407.03,43,8,0
LOG0179,U008,view,F008,2026-01-23T17:37:40,178.24.195.198,208.34,43,5,0
LOG0180,U018,upload,F001,2026-02-26T09:16:40,223.226.115.188,377.58,38,3,0
LOG0181,U007,login,F015,2026-03-07T18:51:40,48.88.61.193,20.41,16,2,0
LOG0182,U006,login,F001,2026-02-16T01:10:40,240.79.20.78,464.32,49,9,0
LOG0183,U010,rename,F026,2026-01-15T22:33:40,19.162.112.94,260.35,10,6,0
LOG0184,U018,view,F003,2026-02-14T07:59:40,55.169.169.184,146.86,39,8,0
LOG0185,U016,upload,F004,2026-01-04T04:27:40,62.124.20.164,190.75,7,6,0
LOG0186,U009,login,F001,2026-01-23T04:23:40,206.228.249.22,148.29,20,8,0
LOG0187,U003,download,F006,2026-01-20T22:55:40,161.33.107.109,432.49,6,3,0
LOG0188,U018,view,F021,2026-03-20T16:12:40,40.12.235.169,19.04,96,27,1
LOG0189,U018,download,F019,2026-03-01T07:29:40,100.230.207.221,158.27,7,8,0
LOG0190,U001,download,F025,2026-01-15T14:11:40,218.37.183.54,144.99,38,1,0
LOG0191,U010,rename,F013,2026-02-07T18:54:40,122.80.112.69,373.4,34,4,0
LOG0192,U005,login,F022,2026-01-07T04:55:40,142.72.63.21,2.61,34,8,0
LOG0193,U003,login,F007,2026-02-14T09:29:40,232.72.82.94,110.47,12,1,0
LOG0194,U006,upload,F028,2026-01-19T01:14:40,141.37.148.34,125.42,37,7,0
LOG0195,U011,logout,F005,2026-01-03T19:40:40,26.145.35.99,158.96,39,4,0
LOG0196,U019,delete,F019,2026-01-17T04:04:40,81.219.86.2,156.68,45,6,0
LOG0197,U009,logout,F005,2026-01-02T16:34:40,225.245.236.228,179.43,35,1,0
LOG0198,U006,download,F027,2026-02-23T10:58:40,138.100.134.39,363.74,32,0,0
LOG0199,U019,view,F025,2026-01-14T08:57:40,10.133.241.76,182.97,49,9,0
LOG0200,U010,delete,F015,2026-01-24T23:50:40,102.186.5.122,424.01,39,2,0
LOG0201,U017,delete,F015,2026-03-10T10:19:40,243.74.247.183,20.31,14,1,0
LOG0202,U009,logout,F008,2026-03-24T18:42:40,133.184.198.240,458.96,2,5,0
LOG0203,U004,login,F027,2026-02-24T21:21:40,146.89.192.193,182.71,4,8,0
LOG0204,U009,view,F030,2026-03-01T23:30:40,91.176.249.246,443.6,86,39,1
LOG0205,U006,share,F003,2026-01-23T19:38:40,55.76.95.80,181.18,7,3,0
LOG0206,U014,logout,F024,2026-03-16T00:12:40,123.245.107.82,323.66,15,0,0
LOG0207,U005,delete,F005,2026-01-08T23:53:40,229.75.28.85,129.2,25,9,0
LOG0208,U019,upload,F029,2026-01-05T06:50:40,56.229.241.246,85.37,38,2,0
LOG0209,U019,delete,F020,2026-01-04T23:39:40,43.175.232.35,114.98,6,0,0
LOG0210,U007,view,F027,2026-03-10T20:49:40,46.243.19.60,46.69,38,8,0
LOG0211,U001,view,F017,2026-02-05T04:00:40,12.219.117.246,394.8,37,9,0
LOG0212,U004,view,F005,2026-02-26T00:06:40,60.42.145.209,128.98,52,47,1
LOG0213,U017,download,F017,2026-03-30T03:14:40,53.161.209.185,53.38,37,4,0
LOG0214,U009,view,F019,2026-02-11T20:38:40,254.203.104.211,276.1,11,5,0
LOG0215,U018,rename,F009,2026-02-18T21:33:40,199.203.70.60,373.93,44,2,0
LOG0216,U004,share,F017,2026-02-07T05:04:40,141.26.82.199,482.29,74,20,1
LOG0217,U016,view,F003,2026-03-22T07:41:40,95.40.19.196,465.35,41,8,0
LOG0218,U010,upload,F025,2026-03-07T19:24:40,113.5.103.146,97.45,32,8,0
LOG0219,U008,delete,F022,2026-03-26T04:40:40,168.0.80.44,498.41,22,6,0
LOG0220,U013,share,F017,2026-03-28T16:10:40,18.46.145.178,173.8,14,9,0
LOG0221,U007,rename,F030,2026-02-06T21:55:40,67.89.208.54,279.36,21,1,0
LOG0222,U017,login,F029,2026-01-20T21:39:40,178.226.193.247,385.01,49,7,0
LOG0223,U015,upload,F016,2026-03-16T07:51:40,98.112.117.161,206.27,34,0,0
LOG0224,U009,share,F010,2026-03-19T03:12:40,192.175.38.91,238.33,36,4,0
LOG0225,U006,share,F016,2026-03-05T08:08:40,62.135.105.117,101.46,39,5,0
LOG0226,U005,download,F004,2026-03-19T18:13:40,127.3.21.246,185.66,36,4,0
LOG0227,U016,delete,F025,2026-01-24T07:30:40,57.65.27.216,239.21,32,5,0
LOG0228,U013,delete,F015,2026-03-14T17:22:40,118.161.4.6,337.08,6,5,0
LOG0229,U012,login,F006,2026-01-19T07:40:40,69.241.175.187,92.04,26,5,0
LOG0230,U012,view,F009,2026-02-01T10:19:40,34.117.51.138,402.06,24,3,0
LOG0231,U005,delete,F016,2026-03-29T10:29:40,128.68.161.249,150.09,36,0,0
LOG0232,U013,download,F023,2026-03-10T14:42:40,209.130.243.49,224.98,23,5,0
LOG0233,U018,login,F012,2026-03-28T02:48:40,90.101.89.145,177.62,31,7,0
LOG0234,U003,view,F020,2026-02-22T01:15:40,245.74.85.172,210.97,25,1,0
LOG0235,U003,delete,F011,2026-03-01T05:35:40,168.149.136.202,135.7,23,9,0
LOG0236,U017,rename,F014,2026-03-09T10:01:40,6.64.120.128,470.22,5,3,0
LOG0237,U006,view,F004,2026-03-18T12:56:40,225.242.27.13,385.49,5,1,0
LOG0238,U009,delete,F003,2026-01-06T03:36:40,59.126.145.226,313.28,10,0,0
LOG0239,U002,logout,F028,2026-02-17T00:26:40,250.139.227.69,484.77,11,9,0
LOG0240,U020,rename,F021,2026-01-07T21:28:40,135.158.177.246,269.88,28,4,0
LOG0241,U012,view,F009,2026-03-11T06:55:40,1.69.176.146,234.65,176,41,1
LOG0242,U010,upload,F025,2026-02-03T06:17:40,60.3.191.96,205.93,25,3,0
LOG0243,U006,view,F027,2026-02-10T08:39:40,21.216.122.139,142.41,17,6,0
LOG0244,U007,download,F006,2026-03-13T06:48:40,164.233.231.139,350.27,20,0,0
LOG0245,U005,upload,F018,2026-03-28T10:49:40,73.137.64.224,363.58,9,0,0
LOG0246,U016,share,F011,2026-02-05T06:05:40,205.255.190.237,348.5,71,20,1
LOG0247,U002,login,F025,2026-02-08T13:21:40,121.92.98.128,408.64,7,3,0
LOG0248,U013,rename,F008,2026-03-26T09:26:40,189.48.106.242,194.62,20,2,0
LOG0249,U002,download,F009,2026-01-27T19:36:40,51.184.26.111,486.64,27,5,0
LOG0250,U001,delete,F026,2026-02-22T21:48:40,102.124.4.21,290.58,44,9,0
LOG0251,U005,logout,F025,2026-03-19T08:45:40,128.46.173.30,29.98,44,8,0
LOG0252,U004,delete,F016,2026-03-01T05:20:40,202.177.224.98,10.77,46,2,0
LOG0253,U009,upload,F016,2025-12-30T01:20:40,76.250.97.95,271.86,29,4,0
LOG0254,U020,delete,F003,2026-01-22T11:27:40,76.134.187.232,0.46,24,2,0
LOG0255,U001,logout,F025,2026-01-10T08:35:40,185.32.198.97,262.08,35,2,0
LOG0256,U020,login,F011,2026-02-05T19:35:40,29.49.34.22,417.61,2,3,0
LOG0257,U004,rename,F007,2026-03-18T14:19:40,165.198.250.131,24.64,45,1,0
LOG0258,U001,share,F021,2026-01-27T13:26:40,206.31.184.212,411.03,3,9,0
LOG0259,U009,upload,F024,2026-03-21T06:51:40,242.110.49.51,362.61,12,3,0
LOG0260,U017,share,F019,2026-01-09T10:20:40,192.212.54.183,337.28,27,1,0
LOG0261,U006,delete,F018,2026-02-06T23:34:40,169.80.226.180,451.25,20,5,0
LOG0262,U014,view,F027,2026-02-16T20:40:40,145.109.192.130,180.07,25,0,0
LOG0263,U002,login,F020,2026-03-27T23:47:40,255.154.3.153,492.2,20,0,0
LOG0264,U009,delete,F004,2026-03-26T01:33:40,40.70.135.187,444.82,16,4,0
LOG0265,U003,view,F019,2026-03-02T16:51:40,186.166.247.88,244.19,44,9,0
LOG0266,U004,login,F002,2026-01-16T03:50:40,200.28.171.178,439.91,7,3,0
LOG0267,U020,upload,F021,2026-01-09T03:52:40,79.21.163.76,163.48,9,0,0
LOG0268,U013,rename,F025,2026-01-12T21:23:40,24.113.221.148,393.21,21,1,0
LOG0269,U016,upload,F018,2026-02-07T07:50:40,103.222.66.69,240.51,25,9,0
LOG0270,U007,share,F008,2026-03-21T07:06:40,111.165.45.57,335.91,22,3,0
LOG0271,U011,logout,F020,2026-01-06T15:06:40,79.86.179.226,311.63,14,3,0
LOG0272,U012,delete,F025,2026-03-20T12:08:40,14.124.75.147,6.97,7,4,0
LOG0273,U015,rename,F001,2026-02-16T09:08:40,138.108.104.132,274.45,9,0,0
LOG0274,U013,upload,F009,2026-03-09T14:37:40,52.138.27.238,327.41,150,28,1
LOG0275,U012,download,F001,2026-02-20T19:31:40,60.194.50.161,242.38,5,2,0
LOG0276,U007,rename,F018,2026-03-28T14:40:40,237.156.170.250,196.76,22,5,0
LOG0277,U012,login,F008,2026-01-25T07:04:40,16.131.198.15,472.07,14,2,0
LOG0278,U011,view,F022,2026-03-13T13:09:40,98.116.213.123,286.49,19,9,0
LOG0279,U011,rename,F018,2026-03-14T09:14:40,36.103.70.158,344.3,8,6,0
LOG0280,U005,delete,F011,2026-03-21T22:21:40,243.60.94.162,419.78,1,5,0
LOG0281,U014,view,F010,2026-02-01T15:56:40,211.140.77.96,53.48,48,9,0
LOG0282,U020,login,F020,2026-01-16T20:41:40,153.118.118.13,179.69,30,2,0
LOG0283,U017,rename,F023,2026-01-06T04:44:40,219.198.251.242,68.84,2,6,0
LOG0284,U001,login,F014,2026-03-01T16:13:40,253.103.104.33,88.62,28,9,0
LOG0285,U016,logout,F028,2026-01-31T08:28:40,104.21.194.160,197.14,36,9,0
LOG0286,U018,upload,F017,2026-03-17T01:26:40,212.21.125.202,491.92,150,44,1
LOG0287,U002,share,F010,2026-02-02T02:59:40,78.146.236.85,211.29,3,8,0
LOG0288,U005,rename,F027,2026-01-07T01:50:40,185.57.92.69,196.59,1,2,0
LOG0289,U015,share,F029,2026-01-31T13:39:40,83.83.63.46,57.17,23,1,0
LOG0290,U017,view,F024,2026-01-23T20:45:40,97.194.22.87,456.14,42,2,0
LOG0291,U006,delete,F006,2026-03-24T02:36:40,80.228.147.92,58.87,12,0,0
LOG0292,U020,login,F001,2026-01-31T00:01:40,128.2.252.121,108.52,29,6,0
LOG0293,U015,download,F020,2026-01-13T15:40:40,226.142.106.25,92.5,140,13,1
LOG0294,U005,upload,F022,2026-01-15T20:36:40,85.44.25.55,208.54,43,4,0
LOG0295,U020,delete,F015,2026-01-15T03:56:40,10.47.153.165,184.35,4,6,0
LOG0296,U018,download,F010,2026-01-29T11:48:40,178.140.168.211,262.37,39,0,0
LOG0297,U004,download,F016,2025-12-31T19:56:40,202.147.218.162,129.9,39,5,0
LOG0298,U005,rename,F017,2026-01-09T00:24:40,207.92.119.148,489.63,57,40,1
LOG0299,U004,share,F026,2026-01-11T02:29:40,12.170.179.108,5.75,18,4,0
LOG0300,U003,login,F010,2026-01-24T22:35:40,197.3.58.170,170.75,39,0,0
