file_id,extension,size_kb,has_text,has_binary,entropy,label
F109,.mov,13355.12,0,1,7.3983,video
F110,.7z,19558.3,0,1,8.1732,archive
F111,.tar,36715.94,0,1,7.9887,archive
F112,.webp,16870.99,0,1,7.3903,image
F113,.gif,27381.08,0,1,7.3728,image
F114,.pdf,20563.03,1,0,4.5253,document
F115,.rar,17576.47,0,1,8.1253,archive
F116,.avi,1703.05,0,1,7.9194,video
F117,.rtf,32830.62,1,0,4.8355,document
F118,.csv,35404.05,1,0,3.42,data
F119,.json,18798.55,1,0,4.0639,data
F120,.7z,40160.2,0,1,7.5848,archive
F121,.docx,12667.53,1,0,4.467,document
F122,.odt,46134.85,1,0,4.2764,document
F123,.go,45169.67,1,0,4.3699,code
F124,.mov,8099.14,0,1,7.374,video
F125,.odt,19430.13,1,0,4.996,document
F126,.mov,8897.3,0,1,7.3694,video
F127,.webp,19632.33,0,1,7.3455,image
F128,.docx,27032.07,1,0,4.4313,document
F129,.csv,45630.55,1,0,4.0154,data
F130,.pdf,3646.9,1,0,4.5713,document
F131,.mkv,939.22,0,1,7.7977,video
F132,.zip,46644.75,0,1,8.0646,archive
F133,.avi,35003.06,0,1,8.2046,video
F134,.csv,25769.63,1,0,4.2399,data
F135,.java,21803.45,1,0,4.444,code
F136,.rtf,11293.12,1,0,4.3844,document
F137,.rar,6061.06,0,1,7.9353,archive
F138,.mov,34092.1,0,1,7.7006,video
F139,.zip,18268.4,0,1,8.2533,archive
F140,.mp4,42059.24,0,1,8.0605,video
F141,.avi,8831.74,0,1,7.3393,video
F142,.go,9550.97,1,0,4.2959,code
F143,.txt,24325.69,1,0,4.8852,document
F144,.go,9474.04,1,0,3.6357,code
F145,.rtf,11925.02,1,0,4.3888,document
F146,.xml,24984.71,1,0,4.265,data
F147,.py,1853.1,1,0,3.6561,code
F148,.zip,20275.99,0,1,7.6117,archive
F149,.7z,22919.06,0,1,8.0781,archive
F150,.json,37052.83,1,0,3.533,data
