node_id,region,cpu_pct,ram_pct,bandwidth_mbps,latency_ms,active_connections,predicted_latency_ms
N003,us-east,26.6,9.6,2528.8,91.81,730,143.46
N009,eu-central,14.1,74.6,3790.1,18.96,198,34.91
N005,ap-northeast,86.7,47.9,5885.3,220.03,192,360.14
N002,eu-central,92.4,64.2,693.8,64.49,521,134.14
N011,eu-central,69,27.3,3879.8,6.27,992,58.6
N009,us-west,88.7,83.6,9479.4,189.83,47,329.27
N006,sa-east,19.2,43.8,9807.2,112.06,70,142.68
N001,us-east,59.8,72.9,126.3,166.24,989,305.79
N007,ap-northeast,61.3,60.3,2277.7,77.72,551,144.71
N012,ap-south,94,66.7,3123.6,163.86,341,294.36
N005,us-west,95,18.3,7696.1,63.04,545,124.08
N003,ap-northeast,22.4,89.6,2490.3,78.64,511,136.48
N009,ap-northeast,92.2,75.6,204.3,15.2,829,67.49
N002,us-east,64.2,13.3,547.1,18.54,998,75.21
N009,eu-central,37.3,79.5,3892.4,228.63,123,338.01
N005,us-east,20.2,87.3,1451.1,282.82,151,401.24
N006,ap-northeast,43.3,81.1,7059.1,102.85,529,179.37
N004,ap-northeast,37.8,36.5,7093.8,222.28,614,322.03
N004,sa-east,8.1,20.8,2476.7,27.52,912,76.14
N008,ap-northeast,84.1,85.9,8262.3,209.56,358,375.58
N005,us-west,7,9.8,1702.7,36.13,154,46.27
N011,us-west,12.1,19.9,5961.7,99.28,783,151.02
N002,ap-south,76,83.7,7256.3,280.65,674,499.3
N001,ap-northeast,22.2,18.5,3312.8,84.5,360,117.09
N009,ap-south,17,58.7,2525.7,192.94,514,272.79
N007,eu-central,14.9,46.7,2406.2,60.96,374,93.69
N012,sa-east,16.4,68,2120.1,72.59,751,132.55
N008,us-east,42,66.7,284.7,156.57,305,239.51
N006,eu-central,53.7,75,5802.8,57.07,699,121.61
N011,us-west,9,72,776.6,249.2,101,325.27
N008,ap-northeast,31.2,91.1,7276.6,272.91,6,398.66
N009,us-east,78.8,17.9,2452.3,130.95,775,229.11
N011,us-west,42.8,17.1,1990.4,59.45,791,115.11
N001,ap-northeast,7.6,80.6,7663.6,287.26,988,424.75
N012,eu-central,24.4,87.1,9855.3,125.2,644,209.02
N010,us-east,29.4,91.9,3436.5,213.48,154,317.96
N003,ap-south,47.3,32,5117.4,280.95,556,405.16
N006,us-east,6.3,49.2,9162.1,150.76,260,193.23
N004,ap-south,11.3,59.5,630.4,275.86,535,372.91
N005,us-east,31.6,15.3,1838.8,50.06,787,99.87
N003,eu-central,76.4,90.1,5638.3,241.72,69,410.1
N007,eu-central,12,92.2,3239,236.02,817,363.57
N012,sa-east,48.6,59.7,9433,184.45,683,300.13
N011,eu-central,7.6,31.6,754.7,109.73,969,173.91
N002,sa-east,31.4,76.4,2054.1,38.24,784,93.18
N009,us-east,80.2,60.9,8592.4,103.8,498,191.4
N012,sa-east,30.7,84.2,6023.9,26.98,160,46.69
N008,sa-east,55.3,64.6,8153.5,274.28,642,441.28
N002,ap-northeast,93.4,80.5,7279.3,55.66,437,118.44
N009,us-east,51.6,14.2,5180.4,220.54,921,333.93
N003,sa-east,78.9,85.3,7260.2,226.58,914,426.09
N004,ap-northeast,67.9,57.3,6424.9,105.95,987,211.51
N009,sa-east,9.7,85.2,1691.4,197.66,664,296.58
N006,ap-south,77.4,81.2,9624.4,298.3,110,499.98
N008,eu-central,63.9,27.3,7573.7,63.51,771,128.13
N002,us-east,57.6,31.5,3173.6,126.88,669,210.19
N012,ap-northeast,24.4,36.3,3923.3,281.79,672,383.86
N008,us-west,22.1,55.9,6807.9,123.06,360,177.59
N002,sa-east,50.4,72.6,6875.4,138.48,357,224.74
N002,us-west,54.5,60.1,6617.1,259.46,579,411.09
N009,sa-east,3.2,37.4,1016.5,163.2,571,214.71
N010,ap-south,46.3,12.8,3025.5,20.16,376,44.49
N011,ap-south,85.1,37.8,6974.9,198.1,534,334.05
N011,us-east,95.3,41.1,8230.4,126.64,422,225.43
N010,ap-south,31.4,35.3,3933.9,259.03,399,350.13
N008,us-west,74.3,77.8,3910.3,23.33,41,40.1
N003,ap-northeast,2.4,53,2105.2,188.37,726,260.21
N005,us-east,18.8,33.5,8156.9,199.44,834,282.16
N005,us-west,21.5,72.6,8711.6,12.1,427,37.68
N006,us-east,86.5,43.7,5022.4,100.92,506,184.57
N008,ap-northeast,30.8,61.9,7974.4,78.48,314,122.46
N001,eu-central,42.1,83.2,3507.8,274.5,674,442.11
N002,eu-central,67.2,61.6,7990.5,180.91,896,323.64
N005,us-west,83.8,58.6,8287.1,104.07,58,170.9
N012,eu-central,3.1,15,4694.2,75.59,639,112.49
N003,us-west,77.8,43.8,3224.3,7.58,850,54.14
N011,us-west,59.4,68.5,3924.4,196.59,843,342.02
N006,us-east,17.7,26.8,971.4,64.32,745,113.01
N004,eu-central,40.9,26.9,7358.4,76.83,34,101.13
N003,ap-northeast,77.5,46.9,9106.1,294.59,821,495.85
N003,us-east,95.3,36.1,4887.2,179.21,19,287.12
N005,sa-east,72.3,88.9,6231.2,154.48,404,276.3
N003,ap-south,48.8,54,8088,268.18,858,424.79
N010,us-east,51.6,92.3,9680.7,80.77,843,168.61
N006,sa-east,29.6,40.7,5514.6,263.12,500,362.76
N012,ap-south,50.6,75.4,6376.4,136.61,606,235.81
N009,ap-south,19.1,34.4,6025.7,225.79,348,290.64
N004,ap-northeast,51,20.3,6710.7,145.85,237,204.76
N007,us-west,11.9,91.9,6216.8,221.01,280,315.86
N012,eu-central,11.4,11.4,1294,52.49,356,75.28
N010,eu-central,54.7,48.1,3463,16.96,12,24.92
N001,us-west,58.2,56.9,4686.9,255.02,425,398.85
N007,eu-central,32.9,70.7,3497.9,183.06,104,261.51
N007,ap-south,47.9,26.4,2132.7,133.89,620,208.74
N012,us-west,51.9,69.8,2040.5,257.77,820,425.64
N001,eu-central,17.8,32.5,2843.4,116.43,502,164.51
N003,us-east,90.4,68.4,1503.1,68.94,592,145.42
N001,eu-central,46.7,69,2360.2,231.24,850,380.92
N001,us-west,58.1,58.4,4873.1,138.59,963,253.98
N010,us-east,19.9,38.2,9627.5,267.91,967,377.03
N004,eu-central,33.3,37,2885,57.19,778,112.67
N011,ap-south,31.7,56.1,4365.2,141.23,607,220.37
N009,ap-northeast,51.8,66.6,6933.9,177.79,850,305.81
N012,us-west,64.4,88.7,4441.1,38.41,424,83.33
N001,sa-east,92.6,33.4,7966.4,14.76,823,64.39
N008,eu-central,89.2,76.1,9868.5,265.34,633,482.64
N008,ap-northeast,41.3,19.1,2706.2,168.24,337,230.54
N007,eu-central,19,51.8,7684.1,164.31,764,246.49
N003,ap-northeast,80.3,88.6,9852.9,274.41,835,507.38
N008,ap-northeast,15.7,43.1,9946.1,130.1,801,199.05
N007,us-west,24.9,78.2,1586.6,179.26,705,283.55
N001,sa-east,68.6,94.2,6018.4,117.64,510,220.43
N005,ap-south,80.4,25.2,2352.3,66.92,821,140.49
N012,ap-south,72.7,50.2,4608.1,113.6,357,191.75
N007,ap-south,63.2,54.8,132.2,59.14,213,99.28
N004,eu-central,59.8,17,450,56.98,874,120.95
N004,sa-east,95.6,26.8,6405.2,155.95,618,275.33
N012,ap-south,89,42.3,6530.7,70.43,806,152
N007,sa-east,11.6,23.6,3100.8,265.75,840,344.07
N003,sa-east,41.5,6.4,930.1,160.8,163,205.75
N005,ap-northeast,60.6,86.9,1700.9,186.66,632,328.89
N004,ap-northeast,30.4,86.7,3740.3,122.01,8,176.22
N009,sa-east,45.8,42.2,2996.7,115.36,704,193.2
N008,sa-east,10.9,51.3,5142.4,251.59,131,314.87
N011,ap-northeast,16.9,78.9,5868,223.62,946,348.63
N005,eu-central,29.6,89.7,9077.9,221.17,518,345.93
N002,ap-south,39.7,64.9,813.8,179.56,919,300
N009,eu-central,65.8,17.2,9713.7,291.33,111,409.43
N001,us-east,30.7,21.8,1976.5,239.77,914,339.7
N004,us-east,82.5,93,6812.1,12.98,284,36.56
N005,ap-northeast,57.7,6.3,6585.6,122.95,404,181.2
N005,eu-central,8.2,84.9,1974.1,145.34,734,229.13
N006,us-east,45.9,51,7410.7,13.81,133,25.98
N009,sa-east,50.5,78.2,5111.2,38.93,467,82.26
N003,ap-south,5.2,63,554.8,150.04,662,218.55
N001,eu-central,84.8,83.5,4538.2,171.4,271,305.33
N010,us-east,95.5,30.9,6658.1,5.66,448,31.35
N002,ap-south,56.7,79.1,9644.3,228.7,642,385.94
N004,ap-northeast,78.7,53.2,8609.5,122.82,16,193.73
N001,us-west,26.9,85.3,5723.9,28.39,487,64.63
N009,us-west,61.8,90.7,6715.9,74.66,117,126.15
N003,us-east,14.1,40.3,7521.2,225.32,476,295.27
N008,ap-south,69.5,16.3,4285.5,293.11,870,454.39
N009,ap-south,68.4,56.3,7513.3,80.11,823,163.69
N012,eu-central,15.9,29.7,919.6,181.97,390,233.95
N005,sa-east,41.8,31.4,5208.1,230.57,241,314.94
N010,ap-northeast,28.8,79.3,5560.2,62.47,535,114.73
N010,eu-central,74.1,69.5,7902.6,187.74,852,343.39
N006,sa-east,19.7,6.5,57.4,186.02,546,235.67
N004,eu-central,79.3,9,2721.6,184.24,489,287.27
N005,eu-central,90.7,14.4,3754.6,78.81,42,120.43
N009,eu-central,49.3,17.5,9090,261.96,74,345.51
N004,us-west,86.5,15.4,9727.5,261.4,694,422.57
N009,sa-east,95.4,8.2,1409.5,258.27,154,396.22
N004,us-west,66.6,43.4,6774.3,261.42,680,420.29
N004,ap-south,31.6,39.7,52.1,203.67,210,273.3
N006,us-east,31.1,76.2,1014.4,39.51,227,67.04
N004,sa-east,86.5,28,3032.7,135.41,492,231.21
N011,us-east,86.4,64.3,46.5,217.69,376,377.19
N002,ap-south,29.5,33,386.1,57.04,178,80.63
N003,us-east,78.3,68.9,6158.6,184.71,433,321.1
N006,sa-east,8,77.8,5827.3,21.83,454,51.06
N003,us-east,61,72,5608,247.99,93,387.79
N005,us-west,64.8,34.5,2873.6,4,216,16.56
N009,eu-central,35.4,18.2,1009.3,89.4,640,142.65
N007,eu-central,32.3,35.8,5618.7,40.53,604,82.11
N012,ap-south,48,8.8,7776.4,156.7,709,234.35
N009,us-west,14.4,77,2480.6,107.94,843,185.57
N004,ap-south,73.1,29.9,1515,83.04,275,135.42
N005,eu-central,8.9,24,9400.5,28.29,73,35.46
N001,ap-northeast,10.9,93.6,8909.5,183.66,264,264.17
N009,us-east,51.1,22.2,9519,59.81,263,92.67
N008,us-west,29.2,41.3,8570.2,155.23,697,234.11
N001,us-west,89.4,65,1909.4,81.58,14,136.42
N010,us-west,96.8,63,4309.1,71.94,315,137.62
N007,ap-south,84.5,75.1,2142.5,152.45,107,260.37
N004,sa-east,60.3,49.4,3673.4,299.63,426,460.61
N005,eu-central,79.6,89.5,29.5,257.27,808,476.82
N006,ap-northeast,59.5,22.6,5491.3,40.91,464,79.36
N012,sa-east,77.1,23.5,4183.8,184.56,80,274.17
N011,us-east,61.1,73.7,7409.2,154.65,685,274.14
N005,us-west,70.8,91.7,5993.7,171.43,819,325.47
N010,us-west,69.9,91,838.3,221.33,939,412.77
N010,us-east,14.7,87.4,3527.6,202.15,123,282.05
N003,sa-east,35.6,44,4482.1,92.15,160,130.07
N012,ap-south,93.4,5.4,528.1,76,721,148.91
N011,ap-northeast,20.7,34.6,2794,231.6,723,318.43
N002,ap-south,20.1,71.2,1439.1,262.64,629,382.82
N001,eu-central,62.5,47.1,2091.4,10.95,341,33.14
N002,eu-central,52.5,59.2,1099.9,250.43,188,374.99
N001,ap-northeast,13.6,28.2,3315.2,176.68,738,242.2
N003,us-west,10.3,16.2,669.9,205.01,956,274.44
N001,ap-south,50.3,84.8,6710,82.12,620,156.99
N001,us-east,68.6,11.8,6192.4,150.55,521,234.16
N008,sa-east,44.5,20.6,2272.1,122.01,630,189.04
N001,ap-northeast,46.5,42.2,2563.9,175.06,61,243.44
N004,sa-east,90.8,39.6,7418.7,123.58,933,242.65
N006,sa-east,4.6,88.8,4094.5,10.24,156,21.31
N010,us-east,45.1,47.9,2275.3,17.72,733,61.2
N007,sa-east,17.9,78.7,5522.8,278.39,375,395.09
N007,eu-central,13.6,90.1,9728.4,168.22,477,254.03
N005,sa-east,80.3,73.4,2441.5,238.6,243,404.93
N009,eu-central,88.8,24.4,6901.4,132.46,243,214.2
N008,ap-south,53.2,31.9,8942.7,84.16,113,121.15
N010,ap-south,74.8,50.3,9207.4,22.19,195,43.96
N002,us-east,85.4,30.6,5253,215.41,868,372.76
N004,eu-central,42.2,84.5,4070.9,12.68,819,59.88
N003,us-east,57.7,83.4,3977.9,147.54,269,244.57
N010,eu-central,17.9,17.7,9969.1,230.54,229,276.23
N010,ap-south,17.2,83.9,8528.2,209.34,454,308.59
N003,sa-east,19.6,53.2,2324.1,238.16,179,312.68
N007,us-west,65.8,82.1,5154.2,64.26,767,141.34
N008,eu-central,40.5,23.8,951.3,212.29,516,297.92
N007,ap-northeast,62.2,76.6,8646.5,21.38,827,74.84
N001,sa-east,17.7,85.1,5980.3,146.47,990,250.48
N011,ap-northeast,48.9,36.1,7343.4,223.07,310,319.95
N005,sa-east,29.2,49.4,2788.5,167.44,365,237.71
N008,eu-central,16.9,60.9,1852.9,198.42,77,259.32
N001,sa-east,17.6,43.4,5732.3,106,301,145.71
N005,us-east,62.5,90.5,7920.4,291.78,603,501.13
N011,eu-central,15.2,25.6,3340.4,23.69,978,76.41
N002,ap-south,36.7,11.4,384.6,28.73,441,57.14
N007,us-east,7.8,69.7,8240.4,84.19,340,124.03
N002,us-east,19.7,16.4,2321.5,285.36,318,344.97
N004,sa-east,10.9,10.2,1156.2,265.68,712,324.79
N012,sa-east,8.9,28.5,4674.1,278.78,808,358.07
N002,ap-south,8.6,57.5,4202.8,79.51,866,141.47
N010,ap-northeast,69.5,91.5,6647.7,218.12,944,407.64
N009,eu-central,25,38.4,982,3.13,859,46.87
N010,eu-central,57.6,22.4,6612.3,196.8,940,315.17
N005,us-east,25,13.9,7810,208.03,348,261.07
N010,us-east,31.6,93.1,7200.8,221.91,57,328.69
N004,ap-south,36.3,55.2,3377.5,110.37,591,180.26
N012,eu-central,87.5,86.8,1704,230.48,972,446.6
N005,us-west,96.3,34.9,5342,249.68,51,401.5
N007,us-west,45.3,45,1700.2,292.58,678,436.64
N005,ap-northeast,20,16,7362.3,137.68,917,204.64
N005,ap-south,19.9,88.6,1552.9,273.7,227,393.12
N002,us-east,54.2,72.3,2301.5,297.02,613,479.74
N005,ap-south,90.6,56.5,7474.4,129.48,36,214.32
N010,us-east,67.6,93.4,8525.6,22.5,962,85.21
N003,us-west,62.5,68.2,983,64.15,917,144.63
N004,us-east,3.8,88.9,3003.3,253.22,261,346.12
N005,us-west,17.4,13.6,1404.1,48.88,859,98.3
N006,us-east,24.5,8.6,6214.4,2.65,238,14.95
N009,us-west,10.5,56.1,4638.7,250.43,5,310.66
N011,eu-central,27.2,36.1,8374.7,74.83,217,104.86
N005,us-west,75.3,71.8,1371.4,171.55,701,312.25
N007,eu-central,32.8,53.6,5361.7,239.8,224,333.17
N004,ap-northeast,80.9,36.4,1424.6,283.98,997,483.16
N012,ap-northeast,41.2,34.5,6898,30.02,200,49.66
N010,eu-central,34,19.8,6896.8,70.42,581,116.09
N005,eu-central,16.9,61.1,7922,83.54,203,117.76
N005,us-east,17.1,6.5,1962.4,166.17,25,185.23
N003,us-west,90.8,29.7,146,177.46,404,295.8
N005,ap-south,17.9,90.8,5402.2,101.96,31,143.5
N004,sa-east,56.2,23.3,7929.9,84.37,861,157.68
N010,us-east,84.4,82.6,3057.6,130.04,563,248.87
N007,eu-central,41,29.8,2157.9,158.21,606,236.66
N003,ap-northeast,55.5,11.7,658.8,246.09,390,343.48
N009,sa-east,20.5,48,392.2,9.07,812,52.05
N010,us-east,29.4,88.1,3435.8,169.02,163,251.65
N005,us-west,47.7,38.8,1589.7,31.78,871,87.02
N012,us-west,10,35.9,8978.2,284.72,713,368.68
N004,ap-northeast,79.6,21.8,3558.7,80.84,305,134.14
N003,eu-central,72.8,89.8,1155,180.8,356,318.53
N009,ap-south,48.6,84.2,1062.4,18.63,555,56.14
N006,ap-northeast,52.1,86.4,5086.6,64.24,146,106.78
N001,sa-east,81.6,34,5196.6,238.54,91,367.45
N007,us-west,2.5,70.4,9069.4,178.03,271,235.58
N004,us-east,72.4,28,2497.7,133.07,87,198.01
N012,eu-central,11,21.9,7088.4,84.2,851,137.53
N008,us-east,9.7,14.7,5745.4,18.57,473,44.03
N002,eu-central,69.1,12.9,3999.5,249.01,858,388.65
N012,ap-south,68.7,44.2,331.7,254.21,601,409.03
N001,sa-east,76.7,7.1,92.9,10.53,457,37.67
N003,ap-northeast,81.3,51.9,2112.8,273.7,614,463.01
N003,us-west,44.1,76.6,4128.9,117.51,522,199.53
N005,us-east,77.9,63.4,1612.8,164.73,821,304.76
N002,eu-central,23,58,2923.2,93.34,231,133.67
N010,eu-central,43.9,33.5,8284.8,182.84,724,279.59
N011,ap-south,40.7,55.4,8602,61.2,22,86.06
N005,sa-east,97.3,55.7,5427.8,86.02,736,180.64
N003,ap-northeast,54.6,34.6,7702.4,258.22,240,370.5
N009,ap-south,41.2,39.3,2768.5,17.52,13,24.07
N008,us-east,84.4,78.3,4416.2,47.14,565,107.59
N001,sa-east,84.4,49.5,9208.6,22.25,937,82.16
N006,sa-east,62.9,73.6,7413.2,10.08,161,23.77
N008,eu-central,47.4,31.6,9633.4,161.07,606,246.51
N001,us-west,84.7,51.3,1656.1,179.57,614,317.02
N004,us-west,86,72,5539.9,37.09,695,96.69
N008,sa-east,32.4,32.9,693,131.74,406,187.83
N002,ap-northeast,6.5,20.2,3497.4,200.89,171,229.5
N001,sa-east,3.6,39.1,9023.5,156.11,555,207.02
N011,sa-east,34.7,14.1,8100.7,297.42,704,398.2
N005,ap-northeast,33.5,68.8,1053,246.04,636,375.48
N001,ap-south,29.2,78.1,4309.8,207.71,58,295.01
N012,sa-east,72.6,85.1,398.5,90.45,230,160.44
N001,ap-south,14.5,47.1,4734.3,19.69,816,65.01
N006,ap-south,55.7,70.8,5626.6,256.15,905,433.19
N006,ap-south,37.4,94.2,3832.3,276.59,97,420.01
N004,ap-south,76.2,35.9,7923.7,231.98,986,397.42
N009,us-east,88.1,50.1,156.2,45.64,241,85.42
N008,ap-south,18.2,26.8,1762.7,158.53,737,223.97
N002,us-west,38.8,20.3,3065.8,160.27,875,245.96
N006,sa-east,33.8,63.9,6619.5,101.59,247,152.75
N006,ap-south,62,10.8,9251.3,65.5,18,89.06
N004,ap-northeast,50.8,9.3,7685.6,250.66,133,328.75
N010,ap-south,12.5,24.4,6816.4,282.98,566,351.98
N006,sa-east,44.9,45.5,8836.3,102.5,132,147.66
N003,us-west,63.6,30.1,8522.8,263.26,226,384.69
N011,eu-central,19.2,72.1,7667.4,221.85,429,317.92
N012,ap-northeast,79.7,13.5,1634.1,126.78,641,215.06
N004,ap-south,34.5,55.2,9043.4,41.19,456,78.67
N007,ap-northeast,89.9,11.3,2121,78.21,274,130.01
N004,us-west,82.4,78,2069.4,239.27,502,425.16
N004,us-west,5.6,23.8,4039.5,292.31,322,339.78
N008,eu-central,16.2,72.6,7632.6,151.77,457,223.64
N012,us-east,67.7,40,3443.6,34.93,972,100.01
N003,ap-south,33.2,74.6,7028.3,90.89,880,172.58
N012,sa-east,72.9,28.6,80.3,216.6,762,354.3
N005,us-west,58.6,27,4488.6,242.86,317,351.73
N011,us-east,73.4,18.3,4041.1,100.64,932,190.31
N010,us-west,2.6,45.9,7016.7,149.41,726,210.51
N007,us-west,81.5,68,5435,137.06,937,270.83
N011,ap-northeast,20.2,72.4,942.8,228.93,989,356.75
N011,eu-central,3.2,69.7,6016.8,71.49,508,114.64
N009,eu-central,17.8,28.3,8976.6,140.86,40,168.68
N008,ap-south,68.8,72.7,5636.6,147.93,261,247.72
N007,eu-central,82.1,59.6,5118.4,147.28,930,283.5
N009,us-west,72.7,33.6,3129,118.49,318,190.73
N008,us-west,12.3,86.5,7454,97.59,745,168.98
N003,us-west,2.2,85.2,9877.2,48.94,121,69.43
N011,eu-central,82.2,70.7,9996.7,191.31,348,332.42
N002,ap-south,62.3,81,8415.1,267.3,459,445.68
N005,ap-south,30.3,40.6,8617.9,272.74,164,359.17
N008,us-west,72.8,40.3,8772.5,89.19,690,168.14
N008,ap-south,81.7,58.7,7536.4,244.45,14,392.84
N007,sa-east,96.1,6.4,4126,164.85,311,263.13
N008,sa-east,30.9,24.2,2773.5,286.21,581,382.57
N004,ap-northeast,3.8,63.5,1769.1,197.45,407,263.35
N005,ap-northeast,20,33.2,3655.1,226.68,67,277.78
N003,ap-northeast,7.5,55.6,6234.2,227.21,33,279.49
N003,sa-east,72.7,10.9,1913.5,11.04,104,20.65
N011,sa-east,65.6,67.4,7997.4,213.38,458,354.21
N003,us-east,26,40.8,2714.8,26.41,973,82.09
N005,ap-northeast,80.7,62.3,7772.7,176.31,994,333.76
N005,ap-northeast,27,21.1,3422.9,253.84,413,326.61
N008,us-east,10.4,77.5,3290.9,271.24,544,382.61
N008,eu-central,50.7,84.5,7705.7,147.78,136,233.67
N008,us-west,58.1,42.3,5678.9,277.17,987,446.12
N012,us-east,51,94.2,4922.2,290.82,976,505.1
N006,ap-northeast,82.6,52.5,9458.2,279.39,817,484.52
N008,us-west,29.3,25.2,8601.2,36.85,856,88.14
N006,us-west,45.4,87.3,2398.9,279.53,175,433.08
N011,eu-central,30.4,14.6,2502.2,284.85,892,386.61
N005,ap-northeast,59.9,5.7,9398.4,125.6,33,167.25
N011,ap-northeast,75.8,27.7,4755.6,118.23,314,189.66
N012,us-west,61.1,42.4,9982.9,67.23,377,116.12
N012,ap-northeast,9.7,55.8,5646.4,37.33,960,94.08
N001,sa-east,13.8,74,1673.8,190.14,582,279.26
N008,eu-central,45.4,26.9,6766.7,242.73,944,366.79
N002,ap-south,49.1,26.5,8997.5,14.45,734,55.97
N006,us-west,34.9,19.2,4467.2,251,642,342.96
N003,ap-south,30.2,72.3,2911.2,237.13,536,356.88
N010,us-west,76.8,93.6,39.7,93.96,524,185.56
N012,us-west,63.3,53.2,4485.3,253.58,118,384.71
N010,ap-south,79.5,19.3,2355.3,64.4,356,111.94
N003,ap-south,57.8,69.8,5643.2,288.65,119,445.18
N011,eu-central,2.5,7.2,6292.3,25.63,329,43.02
N001,eu-central,3.7,15.4,1908.3,177.1,696,224.27
N001,ap-northeast,4,6.1,7708.7,233.87,56,246.1
N006,us-west,75.8,51.9,7196.1,105.14,363,181.33
N008,us-east,90.3,37.5,8145.3,93.58,648,179.93
N006,eu-central,45.9,15.6,1562.5,124.15,400,179.1
N012,ap-northeast,12.9,26.7,8824,83.53,676,130.15
N005,ap-northeast,86.4,16.3,6282.2,283.12,369,439.26
N004,us-west,4.7,37.3,5795.4,43.98,524,76.68
N008,us-west,35,80.9,2895.6,210.93,77,308.57
N009,ap-south,73.6,59.7,5328.9,280.14,325,455.23
N005,ap-northeast,48.9,11.3,8200.5,145.68,481,210.84
N006,ap-south,36.3,32.5,9200.8,190.12,994,294.92
N012,eu-central,18.4,25.6,6996.6,211.24,219,259.65
N003,ap-south,45,34.4,2753.1,267.5,312,373.96
N010,us-east,31.7,86.6,7757.4,34.49,432,71.51
N001,us-east,30.6,50.4,2684.6,261.69,845,387.94
N011,eu-central,39.8,91.7,780.7,272.59,329,426.61
N009,us-west,70.2,28,5476.1,16.77,133,30.87
N004,us-east,47.5,42.4,6454.4,138.53,184,200.21
N011,sa-east,5,76.2,7072.9,2.51,489,27.66
N007,ap-south,72.9,42.8,3310.2,134.01,691,236.53
N002,eu-central,25.7,32.7,4421.6,183.16,313,242.31
N008,us-west,68.4,69,3812.4,30.15,111,52.95
N004,us-west,13,25.2,6122.9,43.98,836,92.33
N010,eu-central,57,93.6,6719.1,209.29,897,379.09
N002,ap-northeast,86.5,91,1098.8,246.98,511,454.27
N006,us-east,10.9,43.8,2988.4,34.12,838,82.86
N004,us-east,83.9,11.5,960.3,26.78,492,63.64
N011,eu-central,80.9,80.8,9654.3,242.48,252,418.47
N011,ap-south,54.9,91.3,7647.4,205.68,517,350.58
N008,ap-south,75.1,93,1351.6,93.65,832,199.45
N005,us-east,46,63.3,5869.7,248.35,405,378.12
N012,us-east,11.4,67.4,4964.6,265.43,88,344.59
N004,ap-northeast,37.9,26.7,8328.3,238.22,883,348.71
N007,eu-central,35.5,17.4,5889.8,268.27,189,340.9
N006,ap-south,79.1,72.7,1402,199.32,517,352.3
N002,us-west,13.2,27.8,8337.3,134.3,498,180.51
N010,ap-northeast,67.8,26.7,2562.1,65.97,253,106.86
N005,us-west,36.9,38.7,9226,59.87,212,89.24
N006,ap-northeast,79.4,55.3,5692,28.15,57,47.36
N011,us-west,81.6,19.4,1665.8,57.72,817,125.85
N004,ap-northeast,2.6,53.5,1759.8,236.75,848,324.45
N003,ap-northeast,85.1,20.4,8195.3,209.13,143,319.49
N012,us-west,22.8,57.5,6889,160.79,22,211.04
N005,us-east,45,87,4546.1,67.24,969,150.32
N006,eu-central,21.9,10.2,1542.5,111.65,422,148.77
N009,eu-central,33.6,34.4,565.7,31.98,589,70.47
N003,eu-central,15.1,64.4,5464.7,147.45,828,231.64
N003,eu-central,20.1,20.6,9348.5,266.75,285,326.13
N005,sa-east,71.9,49.2,6984.5,38.8,92,63.71
